Student ID,Study Hours per Week,Attendance Rate,Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
S01807,14.6,94.8,97.3,Yes,Bachelor,Yes
S01808,12.4,52.6,64.9,No,High School,No
S01809,12.1,56.7,62.1,No,Bachelor,No
S01810,13,88.9,78.7,No,Master,Yes
S01811,20.3,93.6,42.6,No,Bachelor,No
S01812,4.3,62.8,99.2,Yes,Doctorate,No
S01813,12.4,87.9,54.8,Yes,Doctorate,No
S01814,8.5,69.4,72.9,No,Bachelor,Yes
S01815,14.9,70.1,100,No,Bachelor,Yes
S01816,14.6,78,70.8,Yes,High School,Yes
S01817,10.3,90.8,37.2,Yes,Master,No
S01818,6.5,100,53.8,No,Associate,No
S01819,3.7,70.1,68.8,Yes,Doctorate,No
S01820,8.9,57.9,59.4,No,Bachelor,No
S01821,22.1,77.4,70.4,No,High School,Yes
S01822,12.2,40.9,46.3,No,High School,No
S01823,7.2,97.5,52,Yes,Doctorate,No
S01824,20.4,100,71.5,Yes,Master,Yes
S01825,2.1,100,56,Yes,Bachelor,No
S01826,0.6,54.3,40.4,Yes,Master,No
S01827,5.7,64.6,69.8,Yes,Associate,No
S01828,14.6,69.1,67,Yes,Doctorate,No
S01829,4.9,97.9,67,Yes,Associate,No
S01830,10.4,63.5,51.7,Yes,High School,No
S01831,5.4,91.2,54.5,Yes,High School,No
S01832,11.3,48.6,61.5,No,Bachelor,No
S01833,5.5,11,81.5,No,Master,No
S01834,5,62.8,53.9,No,Bachelor,No
S01835,13.3,57.4,55.3,Yes,Bachelor,No
S01836,14.3,55,32.6,Yes,High School,No
S01837,8.8,60.8,71.7,No,Bachelor,No
S01838,10.2,55.3,61.9,No,Master,No
S01839,2.8,57.1,67.8,No,High School,No
S01840,17.3,73.7,62.5,No,Doctorate,No
S01841,15,100,50.4,Yes,Bachelor,No
S01842,11.4,71.4,48.5,Yes,Bachelor,No
S01843,18.8,72.1,37.9,No,High School,No
S01844,11.9,81.1,48.8,No,Bachelor,No
S01845,11.9,87.8,68.5,Yes,Associate,No
S01846,15.5,81.1,58.2,No,Master,No
S01847,3.4,100,66.4,No,Bachelor,No
S01848,9,96.3,65.5,Yes,Associate,No
S01849,6,33,60.1,Yes,Doctorate,No
S01850,9.7,57.4,75.9,No,Master,No
S01851,16.2,77.1,34.9,No,Associate,No
S01852,7.7,91.8,53.5,No,Bachelor,No
S01853,9.8,100,53,Yes,Master,No
S01854,10.3,62.3,74.7,No,Bachelor,No
S01855,14.2,100,56.9,Yes,Master,No
S01856,7,70.5,67.6,Yes,Associate,No
S01857,11.1,86.2,77,Yes,High School,Yes
S01858,0.6,100,66.8,Yes,Associate,No
S01859,13.1,79.9,69.2,Yes,Bachelor,No
S01860,6.8,55.3,61.1,No,Doctorate,No
S01861,6.9,100,50.4,No,Master,No
S01862,9.1,88.7,75.4,No,Bachelor,Yes
S01863,7,43.9,38,Yes,Doctorate,No
S01864,14.5,75.5,93,No,Bachelor,Yes
S01865,16.4,87.3,63.3,Yes,Bachelor,No
S01866,13.3,61.4,67.1,No,Master,No
S01867,4.3,41.4,46.8,Yes,High School,No
S01868,9,52.5,72.3,Yes,Doctorate,No
S01869,10,100,85.6,No,Associate,Yes
S01870,13,84.9,86.8,Yes,High School,Yes
S01871,6.3,98.3,82.5,No,High School,Yes
S01872,10.4,62.5,65.2,Yes,Master,No
S01873,17.3,71.6,41.9,Yes,Bachelor,No
S01874,13.5,83.3,36.8,No,Bachelor,No
S01875,10.4,100,62.2,Yes,High School,No
S01876,17.1,91.3,55.2,Yes,Associate,No
S01877,12,91.4,63.6,No,Doctorate,No
S01878,5.7,100,91.3,Yes,Bachelor,Yes
S01879,17,70.9,60.6,Yes,Associate,No
S01880,13.5,98.8,69.9,Yes,Associate,No
S01881,12.3,47.1,78.8,No,Bachelor,No
S01882,18.5,63.5,79.1,No,Doctorate,No
S01883,11,57.4,66,Yes,Bachelor,No
S01884,14.7,57.5,78.7,No,Master,No
S01885,19,63.3,63.9,Yes,Associate,No
S01886,5.8,100,72.9,Yes,Master,Yes
S01887,6.7,100,67.3,No,Associate,No
S01888,4.6,67,81.8,Yes,High School,Yes
S01889,6.1,99,50.7,No,Doctorate,No
S01890,8.1,81.7,80.6,No,Associate,Yes
S01891,3,70.3,44.1,No,Bachelor,No
S01892,10.1,83,62.4,Yes,High School,No
S01893,14.5,97,73.7,No,Master,Yes
S01894,5.5,65,63.3,No,Doctorate,No
S01895,12.6,66.8,85.8,No,Doctorate,Yes
S01896,15.2,62.5,56.5,No,Master,No
S01897,14.3,59.7,48,No,Associate,No
S01898,4.5,63.2,63.7,No,Associate,No
S01899,14.5,81.2,83.7,No,Associate,Yes
S01900,10.9,79.6,60.3,Yes,Associate,No
S01901,12.8,66.8,97.3,Yes,Master,Yes
S01902,4.1,100,45.9,No,Master,No
S01903,5.5,62.4,38.8,No,Doctorate,No
S01904,13,71.6,68.5,Yes,Associate,No
S01905,12.3,68.9,53.7,No,Associate,No
S01906,14.2,56.7,46.5,No,High School,No
S01907,3.8,35.9,73.2,No,Master,No
S01908,12.8,57.1,67.9,No,Master,No
S01909,12.9,66.7,93.7,No,Doctorate,Yes
S01910,11.3,68.5,61.3,Yes,Associate,No
S01911,0.2,72.8,55,Yes,Associate,No
S01912,2.2,71,77.3,Yes,Associate,Yes
S01913,10.5,66.3,86,Yes,Master,Yes
S01914,8.7,90.6,60.2,No,Doctorate,No
S01915,13.4,87.1,45.2,Yes,Master,No
S01916,8.4,98.9,67.7,Yes,Bachelor,No
S01917,13.7,76.7,55.7,Yes,Associate,No
S01918,11.7,71.8,67,No,Bachelor,No
S01919,11.6,73.6,91.1,No,Associate,Yes
S01920,12.3,78.3,56.4,Yes,Master,No
S01921,13.1,80.6,46.4,No,Bachelor,No
S01922,4.9,91.7,65.2,No,Master,No
S01923,8.8,55,57.1,No,Doctorate,No
S01924,9.8,96.5,40.2,Yes,Doctorate,No
S01925,11.7,63.8,55.6,No,Doctorate,No
S01926,17.2,100,72.6,No,Associate,Yes
S01927,3.4,69,67.6,Yes,Associate,No
S01928,13.1,80,50.8,No,High School,No
S01929,16.6,98.9,56.5,Yes,High School,No
S01930,11.9,46.1,68.8,Yes,Bachelor,No
S01931,15.5,100,51.7,Yes,Associate,No
S01932,20.1,65.2,64.4,No,Associate,No
S01933,15.1,89.2,70.2,No,Associate,Yes
S01934,11.2,62.7,76.2,No,Master,No
S01935,15.2,100,56.9,No,Doctorate,No
S01936,10.7,74.4,59.1,No,Associate,No
S01937,10.1,48.4,67.9,Yes,High School,No
S01938,8.2,84.4,54,Yes,Master,No
S01939,17.8,100,44.3,Yes,Associate,No
S01940,5.9,98.8,70.3,Yes,Bachelor,Yes
S01941,12.5,91.2,73,Yes,Doctorate,Yes
S01942,3,66.6,56.4,No,Associate,No
S01943,11.8,86.8,66.3,Yes,Master,No
S01944,14.4,55,56.9,Yes,Master,No
S01945,7,79.2,62.9,Yes,High School,No
S01946,19.8,74.4,59.8,No,Bachelor,No
S01947,7.5,76.8,66,No,Doctorate,No
S01948,4.7,99.2,65.2,Yes,High School,No
S01949,17.4,82.1,68.3,No,Master,No
S01950,19.8,28.3,46.1,No,Doctorate,No
S01951,10,100,76.6,No,Master,Yes
S01952,15.1,36.9,63.1,Yes,Master,No
S01953,18.4,82.7,66.9,No,Associate,No
S01954,5.6,89.6,63.6,No,Master,No
S01955,19.9,83.3,59.1,Yes,Master,No
S01956,7.3,87.3,62.6,No,Master,No
S01957,17.8,70.8,51.9,No,Master,No
S01958,14.3,58.8,87.1,Yes,Master,No
S01959,12.1,66.1,63.4,No,High School,No
S01960,10.2,58.2,78.3,Yes,High School,No
S01961,12.8,38.1,71.7,Yes,Bachelor,No
S01962,8.5,87.1,81.5,Yes,Bachelor,Yes
S01963,11.2,68.9,55.7,No,Bachelor,No
S01964,9,15.3,66.4,No,Associate,No
S01965,7.7,40.8,63.9,Yes,Associate,No
S01966,9.2,85.5,81.1,No,Doctorate,Yes
S01967,7.7,74.9,90.3,No,Bachelor,Yes
S01968,6.2,78.8,62.5,No,Associate,No
S01969,13.1,100,44.6,No,High School,No
S01970,6.8,55.2,75.8,Yes,Doctorate,No
S01971,11.3,78.1,74.1,Yes,High School,Yes
S01972,14.1,71.9,62.5,Yes,Master,No
S01973,9.8,98.2,60.3,No,Associate,No
S01974,12.3,100,63.4,No,High School,No
S01975,7.4,90.8,53.8,No,Associate,No
S01976,9,60.9,72.8,Yes,High School,No
S01977,6.3,55.9,73.6,Yes,Bachelor,No
S01978,2.3,75.4,56.1,No,High School,No
S01979,7.5,100,70.5,No,Doctorate,Yes
S01980,8.6,36.6,61.2,Yes,Doctorate,No
S01981,8.7,87.4,62.8,No,Associate,No
S01982,8.8,87.1,55.5,No,Doctorate,No
S01983,9.7,59.8,65.7,Yes,Bachelor,No
S01984,14.4,68.2,58.5,No,High School,No
S01985,6.8,42.2,71.1,No,Associate,No
S01986,4,100,56.1,No,High School,No
S01987,4.8,100,43.1,No,Master,No
S01988,7.6,68.2,62.7,No,High School,No
S01989,8.2,62.2,93.7,No,High School,No
S01990,6.2,48.8,52.8,Yes,Associate,No
S01991,3.5,53.1,50.5,No,Associate,No
S01992,10.9,99.2,92.1,Yes,Associate,Yes
S01993,13,100,81.6,No,Associate,Yes
S01994,7.2,60.5,74.5,No,High School,No
S01995,7.9,57,85.3,No,Associate,No
S01996,5.4,51.6,78.6,Yes,Master,No
S01997,9.8,84,63.4,No,Master,No
S01998,12.9,77,80.4,Yes,Master,Yes
S01999,1.1,66.1,66.7,No,Master,No
S02000,8.2,100,51.2,No,Associate,No
S02001,11.5,90.3,72.9,Yes,Master,Yes
S02002,23.5,82.4,81.7,Yes,Doctorate,Yes
S02003,11.7,71.2,50.5,Yes,Associate,No
S02004,5,60.7,73.5,No,Bachelor,No
S02005,9.5,85.4,67.4,Yes,High School,No
S02006,1.1,83.5,67.7,No,High School,No
S02007,9.6,86.3,69.2,Yes,Bachelor,No
S02008,5.8,43.7,62.1,No,Associate,No
S02009,14.6,81.8,72.5,Yes,Doctorate,Yes
S02010,9.4,57.4,66.7,No,Bachelor,No
S02011,18.7,78.5,44.9,Yes,Bachelor,No
S02012,8.4,100,73.8,No,Master,Yes
S02013,19.2,84.7,68.3,No,Bachelor,No
S02014,14.1,69.1,72.5,No,Doctorate,Yes
S02015,11.8,51.6,74.9,No,Doctorate,No
S02016,12,99.6,59.2,Yes,Bachelor,No
S02017,0.4,81.3,55.2,Yes,Doctorate,No
S02018,8.6,81.6,72.1,No,Associate,Yes
S02019,14.2,53.7,87.1,No,Bachelor,No
S02020,9.8,90.6,61.9,No,Associate,No
S02021,3,56.3,49.8,No,Associate,No
S02022,9.7,63.9,76.9,No,Bachelor,No
S02023,18.5,77.5,52.5,No,Associate,No
S02024,16.2,63.4,69.7,No,Associate,No
S02025,9.7,59.2,50,No,Associate,No
S02026,17.8,84.7,69.8,No,Doctorate,No
S02027,8.8,97.4,56.7,No,High School,No
S02028,19.5,83.7,61.4,Yes,Associate,No
S02029,18.1,91.8,69.4,Yes,Associate,No
S02030,21.1,73.2,44.4,Yes,Doctorate,No
S02031,9.2,60.6,91.9,Yes,Bachelor,No
S02032,2.4,59.8,34.6,Yes,Associate,No
S02033,17.4,85.3,49.8,No,Doctorate,No
S02034,4.2,93.9,54.2,Yes,Associate,No
S02035,11.1,83.9,90.7,Yes,Associate,Yes
S02036,4.5,82.7,100,No,Bachelor,Yes
S02037,7.1,90.2,73,No,Doctorate,Yes
S02038,5.8,92.5,81.4,Yes,Bachelor,Yes
S02039,7,59.4,83.7,Yes,High School,No
S02040,7.3,44.2,48.5,No,High School,No
S02041,7.3,80.6,63.9,No,Bachelor,No
S02042,14.2,93.5,63.7,Yes,Bachelor,No
S02043,4.5,43.4,85.7,Yes,Doctorate,No
S02044,11.1,76.4,96.4,No,Doctorate,Yes
S02045,16.1,97.6,98.2,No,High School,Yes
S02046,7.4,72.7,72.5,No,High School,Yes
S02047,8.8,100,58.3,No,Doctorate,No
S02048,15.9,71.3,65.9,Yes,High School,No
S02049,11,67.6,81,Yes,Master,Yes
S02050,7.3,68,79.3,Yes,Master,Yes
S02051,12.4,77.7,73.3,No,Doctorate,Yes
S02052,12,29.6,72.1,Yes,Master,No
S02053,5.8,100,78.5,No,High School,Yes
S02054,6.8,72,49.9,Yes,High School,No
S02055,12.3,100,66.8,No,High School,No
S02056,7.1,36.1,57.8,Yes,Doctorate,No
S02057,9.8,64.3,35.5,Yes,Doctorate,No
S02058,5.5,61.6,61.1,No,Bachelor,No
S02059,5.3,30.4,61.8,No,Associate,No
S02060,6.7,79.9,82.6,Yes,Master,Yes
S02061,11.5,51.3,69.3,Yes,Bachelor,No
S02062,12.3,69.4,97.1,Yes,Bachelor,Yes
S02063,8.1,58.5,76.1,Yes,Doctorate,No
S02064,11.9,52.8,71.5,No,Associate,No
S02065,10.7,78.2,66.7,Yes,High School,No
S02066,13.8,90.9,53.3,No,High School,No
S02067,12.5,88,89.3,No,Master,Yes
S02068,29.6,55.3,64.5,Yes,High School,No
S02069,11.4,100,71.2,No,Doctorate,Yes
S02070,9.8,46.8,77,No,Associate,No
S02071,7.9,69.3,54,No,Master,No
S02072,7.2,100,45.5,No,Associate,No
S02073,11.6,43.7,61.6,No,Master,No
S02074,13.8,79.1,43,No,Doctorate,No
S02075,4.3,82,62.2,Yes,Doctorate,No
S02076,7.7,97.2,61.6,No,Doctorate,No
S02077,11.8,80,82.9,Yes,Bachelor,Yes
S02078,6.3,84.3,51.6,No,Associate,No
S02079,13.8,71,70.4,No,Bachelor,Yes
S02080,19.2,92.1,86.9,Yes,Bachelor,Yes
S02081,13.3,61.2,43.1,No,High School,No
S02082,10.5,74.6,41.1,Yes,High School,No
S02083,13.7,99.8,59.3,Yes,Master,No
S02084,9,64.7,48.1,Yes,Master,No
S02085,14.9,100,64.9,Yes,Bachelor,No
S02086,14.8,78.6,62.8,Yes,Master,No
S02087,14.4,68,59,No,Bachelor,No
S02088,17.4,51.3,50.7,Yes,Doctorate,No
S02089,7,100,59,No,Associate,No
S02090,8.9,57.8,35.9,Yes,Master,No
S02091,7.7,44,62.5,No,High School,No
S02092,13.2,66.4,56.5,Yes,Master,No
S02093,9,91.5,61.4,Yes,Doctorate,No
S02094,11.6,78.8,74.5,No,Master,Yes
S02095,4.3,33.8,46.1,No,Bachelor,No
S02096,10.4,100,38.4,Yes,Master,No
S02097,9.1,78.8,24.2,No,High School,No
S02098,16,88.5,56.9,No,Bachelor,No
S02099,13.9,100,66.4,Yes,Bachelor,No
S02100,12.3,92.6,84.4,No,Master,Yes
S02101,5.3,50.5,70.1,No,High School,No
S02102,8.8,72.7,56.2,Yes,Doctorate,No
S02103,15.7,64.5,63.1,No,High School,No
S02104,5.9,55.2,69.8,Yes,Bachelor,No
S02105,7.4,66.3,84.2,No,Doctorate,Yes
S02106,4.7,32.6,69.1,No,Associate,No
S02107,8.7,73.9,82.4,No,High School,Yes
S02108,7.1,83.7,59.6,No,Master,No
S02109,0.9,49.2,49.4,No,Bachelor,No
S02110,11.4,77.4,57.8,Yes,Bachelor,No
S02111,0.4,64.3,52.6,Yes,Bachelor,No
S02112,9.7,67.8,66.8,No,Master,No
S02113,3.2,55,72.3,No,Bachelor,No
S02114,10.5,100,25.2,No,Bachelor,No
S02115,16.3,55,56.5,No,Doctorate,No
S02116,5.8,76.3,100,No,Doctorate,Yes
S02117,12.7,68.7,81.8,No,High School,Yes
S02118,11,77.8,85,Yes,Master,Yes
S02119,11.3,93.3,72.3,Yes,Doctorate,Yes
S02120,13.7,60.8,59.8,No,Bachelor,No
S02121,11.4,98.1,52.8,Yes,Doctorate,No
S02122,1.7,50.3,87.3,No,High School,No
S02123,5.2,78.8,48.6,No,Doctorate,No
S02124,9.4,45.3,72.4,Yes,Associate,No
S02125,22.1,61.4,61.1,Yes,Doctorate,No
S02126,13,60.5,68.3,Yes,Bachelor,No
S02127,10.4,58.4,63,Yes,Associate,No
S02128,8.9,49.8,76.1,Yes,Associate,No
S02129,5.2,86,51.8,Yes,Master,No
S02130,10.4,44.1,43.4,No,Master,No
S02131,9.2,66.9,65.5,Yes,Associate,No
S02132,0.5,60.5,56.9,No,Bachelor,No
S02133,7.9,62.3,64.8,No,Master,No
S02134,19.4,88.2,50.8,Yes,Master,No
S02135,12.8,66.3,82.4,Yes,Associate,Yes
S02136,3.3,78.3,91.7,Yes,Associate,Yes
S02137,12.4,97.3,75.5,No,Bachelor,Yes
S02138,2.3,87,58.6,Yes,Bachelor,No
S02139,15.4,49.5,71.1,No,Master,No
S02140,7.6,84,55,Yes,Bachelor,No
S02141,9.5,96,75,No,Associate,Yes
S02142,16.6,63.4,75.8,Yes,Bachelor,No
S02143,3.6,43.3,76.8,No,Bachelor,No
S02144,3,66.2,59.5,No,Bachelor,No
S02145,7.1,78.8,75.6,Yes,Doctorate,Yes
S02146,15.2,86.8,72.4,No,Master,Yes
S02147,2.4,64.6,69,No,Bachelor,No
S02148,7.7,49.5,48.9,No,High School,No
S02149,12.8,82.2,71.2,Yes,Doctorate,Yes
S02150,16,100,60.8,Yes,Doctorate,No
S02151,7.7,74.6,45.8,No,Associate,No
S02152,7.9,100,54.4,Yes,High School,No
S02153,15.8,53.9,71.5,Yes,Bachelor,No
S02154,0.7,62,57.8,No,Associate,No
S02155,8.1,28.2,56.4,Yes,Master,No
S02156,11,82.4,33.8,No,Bachelor,No
S02157,12.3,28.9,68.7,No,Bachelor,No
S02158,12.2,87.9,65.3,No,Master,No
S02159,8.3,48.1,44.4,No,Associate,No
S02160,9,46.7,51.8,No,Doctorate,No
S02161,13.1,71.4,41.8,Yes,Master,No
S02162,10.8,78.2,83.8,No,High School,Yes
S02163,7.1,89.4,48.9,No,Associate,No
S02164,11.1,74.8,84.4,No,Bachelor,Yes
S02165,15.8,87.2,62.4,Yes,Bachelor,No
S02166,8.3,47.6,50.1,Yes,Master,No
S02167,12.1,74.5,66,Yes,Master,No
S02168,16,98,72.4,No,Bachelor,Yes
S02169,3.1,100,70.4,No,Master,Yes
S02170,8.6,73,80.9,Yes,Master,Yes
S02171,6.1,100,64.3,Yes,Doctorate,No
S02172,18.7,73,100,Yes,Bachelor,Yes
S02173,5.7,97.9,71.7,No,Doctorate,Yes
S02174,7.2,72.9,71,No,Associate,Yes
S02175,8,50,71,Yes,High School,No
S02176,11.6,94.6,80.7,Yes,Doctorate,Yes
S02177,8.3,100,27.4,No,Master,No
S02178,9.5,77.1,61.3,No,Master,No
S02179,7.4,71.7,40.3,No,Associate,No
S02180,2.4,95.5,85.5,No,Master,Yes
S02181,18.8,27,53.1,No,Doctorate,No
S02182,13.5,74.8,60.4,No,High School,No
S02183,18.5,62.2,87.9,No,High School,No
S02184,11,75.9,71.3,Yes,Master,Yes
S02185,18.2,92.9,53.6,No,Master,No
S02186,6.3,75.6,73.6,Yes,Bachelor,Yes
S02187,13.9,100,50.9,No,Bachelor,No
S02188,12.8,100,75.6,No,Bachelor,Yes
S02189,11.2,73.9,61.8,No,High School,No
S02190,16,74.3,57.7,No,Doctorate,No
S02191,10.7,97.5,44.7,Yes,Doctorate,No
S02192,0.2,96.3,79.6,Yes,Master,Yes
S02193,4.4,23.1,61.5,Yes,Master,No
S02194,11.5,27.6,69,No,Bachelor,No
S02195,9.7,74.6,50.3,No,Master,No
S02196,0.2,58.3,57,No,Bachelor,No
S02197,10.7,92,59.1,No,Associate,No
S02198,0.9,62.1,83.7,No,High School,No
S02199,13.8,74.8,53.4,Yes,Bachelor,No
S02200,9.5,56.4,52.6,No,Master,No
S02201,5.7,94.2,50.2,Yes,High School,No
S02202,16.4,57.4,66,No,Bachelor,No
S02203,12.9,76.1,75.2,No,Bachelor,Yes
S02204,9.4,75.9,43.9,Yes,High School,No
S02205,12.9,68,54.3,Yes,Doctorate,No
S02206,6.5,90.5,38.8,No,Bachelor,No
S02207,14.3,88.4,77.5,No,High School,Yes
S02208,18.2,72.3,80.7,Yes,Bachelor,Yes
S02209,15.4,79.1,80.1,No,Doctorate,Yes
S02210,11.8,85.8,61.5,No,High School,No
S02211,3.5,68.9,56.6,Yes,Doctorate,No
S02212,12.9,98.3,42.2,No,Associate,No
S02213,12.3,92.3,72.8,Yes,Master,Yes
S02214,0.7,100,50.4,Yes,Master,No
S02215,4.2,43.6,34.3,No,Bachelor,No
S02216,8.6,89,84.7,No,Doctorate,Yes
S02217,11.9,69.9,62.8,Yes,High School,No
S02218,11.3,47.7,82,Yes,Doctorate,No
S02219,9,100,42.9,No,High School,No
S02220,15.2,69.1,64.3,No,High School,No
S02221,18.3,100,71.8,Yes,Associate,Yes
S02222,7.6,49.5,58.9,No,High School,No
S02223,6.9,91.4,59.4,Yes,Associate,No
S02224,12.5,59.9,78.8,No,Doctorate,No
S02225,8.2,59.5,53.8,Yes,Master,No
S02226,9.3,78.4,57.1,No,Doctorate,No
S02227,0.5,94,43.3,Yes,Master,No
S02228,16.6,96.6,61,Yes,Bachelor,No
S02229,7.9,52.1,75.3,No,Associate,No
S02230,9.6,68.1,57.1,Yes,Bachelor,No
S02231,9.8,81.9,36.7,Yes,High School,No
S02232,17.5,2.4,57.9,Yes,Doctorate,No
S02233,10.2,38.5,47.2,No,Doctorate,No
S02234,12.2,70.2,69.8,Yes,Bachelor,No
S02235,14.8,92.1,70.4,No,Bachelor,Yes
S02236,4.9,56.9,74.2,No,Associate,No
S02237,12.4,89.7,70.7,Yes,Bachelor,Yes
S02238,8.7,45.1,76,Yes,Bachelor,No
S02239,9.5,84.4,87.1,No,High School,Yes
S02240,7,54.8,68.6,No,Bachelor,No
S02241,12.2,44,39.1,Yes,High School,No
S02242,12.4,89.5,93.1,No,Associate,Yes
S02243,6.5,44.5,61,Yes,Doctorate,No
S02244,6.4,59.6,74.4,No,Associate,No
S02245,14.2,82.4,57.8,Yes,Doctorate,No
S02246,8.2,87.5,59.8,No,Master,No
S02247,8.1,74.6,47.5,No,High School,No
S02248,4.8,57,57.6,No,Associate,No
S02249,10.5,81.6,56.4,No,Doctorate,No
S02250,11.6,64.3,61.6,No,High School,No
S02251,7,66.5,59.6,Yes,Master,No
S02252,6.5,83.2,61.5,Yes,Associate,No
S02253,4.2,92.9,70.5,No,Master,Yes
S02254,8.1,73.1,73.2,Yes,High School,Yes
S02255,10.8,94.1,55,Yes,High School,No
S02256,7.9,33.5,73.8,Yes,High School,No
S02257,5.3,100,63,Yes,Master,No
S02258,13,55.5,53.3,No,Doctorate,No
S02259,6.2,66.3,80.3,Yes,Bachelor,Yes
S02260,2.7,78.5,65.5,Yes,Associate,No
S02261,12.6,75.5,55.4,No,Bachelor,No
S02262,14.9,92.6,79.7,Yes,Doctorate,Yes
S02263,12.6,74.8,75.5,No,Associate,Yes
S02264,4.5,94.9,75.5,Yes,Master,Yes
S02265,8.3,33,39.7,Yes,Associate,No
S02266,6.1,60.9,56.8,Yes,High School,No
S02267,16.7,64.6,55.8,Yes,High School,No
S02268,14.5,85.4,51.7,No,Associate,No
S02269,14.5,86.7,49,Yes,Doctorate,No
S02270,8,74,59.4,Yes,Doctorate,No
S02271,6.9,30.5,59.3,Yes,Associate,No
S02272,2.3,90.4,53.6,Yes,High School,No
S02273,0.6,86.2,88.4,Yes,Doctorate,Yes
S02274,13.6,98.2,90.7,Yes,Bachelor,Yes
S02275,0.6,87,38.6,No,Doctorate,No
S02276,8.1,56.9,57.2,Yes,Doctorate,No
S02277,12.2,92.8,68.2,No,Doctorate,No
S02278,10.9,77,67.8,No,Associate,No
S02279,12.1,95.9,98.2,No,Master,Yes
S02280,11.1,100,56.7,Yes,Doctorate,No
S02281,6.6,95.7,81.3,No,Doctorate,Yes
S02282,6.1,78.2,64.8,Yes,Master,No
S02283,14.2,100,89,No,Doctorate,Yes
S02284,14.5,95.9,74.7,No,Master,Yes
S02285,12.3,63.3,54.8,Yes,Master,No
S02286,15.9,80.2,77.9,No,Doctorate,Yes
S02287,4.1,92.2,83,Yes,Associate,Yes
S02288,18.3,100,86.9,Yes,High School,Yes
S02289,1.7,70.6,60.6,Yes,Master,No
S02290,7.4,55.2,61.5,No,Associate,No
S02291,6.3,89.1,69.2,Yes,Bachelor,No
S02292,13.6,67.4,72.2,Yes,Associate,Yes
S02293,4.7,100,55.9,Yes,Associate,No
S02294,13.8,80.1,83.3,No,Bachelor,Yes
S02295,16.9,89.2,85,No,Associate,Yes
S02296,11.4,100,90.9,No,High School,Yes
S02297,5.1,74.5,63.8,Yes,Doctorate,No
S02298,5.8,72.5,37.2,Yes,Bachelor,No
S02299,16.2,73,51.2,No,Associate,No
S02300,13.9,49.2,58.3,Yes,Doctorate,No
S02301,9.8,70,78.8,Yes,Master,Yes
S02302,7.9,85.9,50.3,No,High School,No
S02303,4.6,95.4,100,Yes,High School,Yes
S02304,19.6,69.6,68.5,No,High School,No
S02305,3.6,79.9,89.1,Yes,Bachelor,Yes
S02306,10.9,30.3,47,No,High School,No
S02307,15,79.5,34.7,No,Bachelor,No
S02308,3.7,54.1,40.9,No,Bachelor,No
S02309,14.7,43.7,61.5,No,Doctorate,No
S02310,10.1,57.4,60.1,No,Master,No
S02311,24.3,71.7,90.8,No,Master,Yes
S02312,1.7,69.6,81.3,Yes,Master,Yes
S02313,9.1,37.6,83,No,High School,No
S02314,12.2,73,70.2,Yes,Master,Yes
S02315,11.1,56.7,53.5,Yes,Master,No
S02316,0.7,97,61,Yes,High School,No
S02317,11.5,40.7,79.8,No,Doctorate,No
S02318,13.2,56.5,83.6,Yes,Associate,No
S02319,15.3,54.9,100,Yes,High School,No
S02320,10.7,100,82.2,Yes,Bachelor,Yes
S02321,5.6,85.6,42.7,No,Bachelor,No
S02322,6.4,71.9,86.5,Yes,Bachelor,Yes
S02323,15.9,75.3,93.4,No,Master,Yes
S02324,17.2,68.6,67.1,Yes,Master,No
S02325,8.8,89.8,39.6,No,High School,No
S02326,10.2,92.2,68.1,No,High School,No
S02327,5.5,86.8,78.4,No,Associate,Yes
S02328,19.7,71.3,63.9,No,Bachelor,No
S02329,8.1,79.8,72.1,Yes,Bachelor,Yes
S02330,8.9,93.8,62.1,Yes,High School,No
S02331,14.4,42.5,87.6,Yes,Bachelor,No
S02332,13.6,49.1,67.3,Yes,Master,No
S02333,5.4,90.2,75.1,No,Master,Yes
S02334,16.8,71.6,42.2,No,Bachelor,No
S02335,15.9,95.6,58.4,No,Associate,No
S02336,10.7,79.8,62.8,Yes,Doctorate,No
S02337,10.2,81.9,69.6,No,Associate,No
S02338,14.4,95,75.6,No,High School,Yes
S02339,2.2,37.1,90.8,Yes,Doctorate,No
S02340,17.5,79.2,64.1,Yes,Bachelor,No
S02341,8.9,54.6,76.7,No,Associate,No
S02342,6.9,94.7,41.5,No,Master,No
S02343,8.6,53,74,Yes,Master,No
S02344,17.1,52.2,31.9,No,Doctorate,No
S02345,11.7,95.4,45.9,No,High School,No
S02346,4,87.9,58.9,No,Doctorate,No
S02347,4.6,59.4,45.3,No,Master,No
S02348,18.4,94.6,75.7,Yes,Bachelor,Yes
S02349,5.3,36.2,82,No,Master,No
S02350,4.2,84.4,65,No,Associate,No
S02351,15.7,50.1,98,Yes,Doctorate,No
S02352,11.7,64.5,61.5,No,Doctorate,No
S02353,11.1,100,43.6,No,High School,No
S02354,15.5,73.4,69.9,Yes,Master,No
S02355,15.3,66.2,102.5,Yes,Bachelor,Yes
S02356,12.7,55.3,49,Yes,Master,No
S02357,10,74.5,66.5,Yes,Doctorate,No
S02358,4.1,90.3,56,Yes,Master,No
S02359,12.2,70.2,64.4,No,Associate,No
S02360,20.4,70.8,48,Yes,High School,No
S02361,4.9,90.3,58.3,No,Associate,No
S02362,8.2,67.6,48.3,Yes,High School,No
